"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSUMAG00000015745"," DIS3L2","ENSUMAG00000015745",103662847,"protein_coding","Polar bear","KK498593.1",7.612762,"DIS3 like 3'-5' exoribonuclease 2 [Source:NCBI gene;Acc:103662847]",43.75,1,289191,2781,3045,97,167,20
"ENSUMAG00000011813"," SLC22A3","ENSUMAG00000011813",103660827,"protein_coding","Polar bear","KK498572.1",7.627732,"solute carrier family 22 member 3 [Source:NCBI gene;Acc:103660827]",43.17,1,45061,1215,2770,27,1528,10
"ENSUMAG00000011992"," MAP2K5","ENSUMAG00000011992",103679052,"protein_coding","Polar bear","KK498764.1",7.632487,"mitogen-activated protein kinase kinase 5 [Source:NCBI gene;Acc:103679052]",41.49,5,248735,1352,1933,284,280,21
"ENSUMAG00000010436"," CHD7","ENSUMAG00000010436",103677508,"protein_coding","Polar bear","KK498738.1",7.650288,"chromodomain helicase DNA binding protein 7 [Source:NCBI gene;Acc:103677508]",42.3,10,123341,7676,7686,97,NA,34
"ENSUMAG00000025439"," ","ENSUMAG00000025439",103669882,"protein_coding","Polar bear","KK498640.1",7.70467,"cellular communication network factor 5 [Source:NCBI gene;Acc:103669882]",53.25,1,12926,1587,2229,NA,642,5
"ENSUMAG00000002581"," FTO","ENSUMAG00000002581",103673791,"protein_coding","Polar bear","KK498677.1",7.764817,"FTO alpha-ketoglutarate dependent dioxygenase [Source:NCBI gene;Acc:103673791]",42.87,6,392691,1478,2548,18,1052,9
"ENSUMAG00000001107"," ","ENSUMAG00000001107",103674862,"protein_coding","Polar bear","KK498686.1",7.807658,"microtubule associated protein 4 [Source:NCBI gene;Acc:103674862]",43.44,6,123349,3314,3836,19,506,18
"ENSUMAG00000019959"," ZFPM2","ENSUMAG00000019959",NA,"protein_coding","Polar bear","KK498579.1",7.869022,"zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]",36.62,3,349210,3147,4068,319,1062,5
"ENSUMAG00000023676"," SORCS3","ENSUMAG00000023676",103659163,"protein_coding","Polar bear","KK498509.1",7.897206,"sortilin related VPS10 domain containing receptor 3 [Source:NCBI gene;Acc:103659163]",43.57,1,568471,3582,3582,NA,NA,30
"ENSUMAG00000015816"," NIPSNAP2","ENSUMAG00000015816",103670245,"protein_coding","Polar bear","KK498642.1",7.901809,"nipsnap homolog 2 [Source:NCBI gene;Acc:103670245]",42.77,1,20743,885,2555,917,753,9
"ENSUMAG00000012020"," IQCH","ENSUMAG00000012020",103679055,"protein_coding","Polar bear","KK498764.1",7.920385,"IQ motif containing H [Source:NCBI gene;Acc:103679055]",41.09,2,184445,2918,2918,NA,NA,19
"ENSUMAG00000015715"," DPH6","ENSUMAG00000015715",103673486,"protein_coding","Polar bear","KK498675.1",7.943352,"diphthine--ammonia ligase [Source:NCBI gene;Acc:103673486]",34.8,1,160026,732,918,93,NA,9
"ENSUMAG00000015185"," WWP1","ENSUMAG00000015185",103661400,"protein_coding","Polar bear","KK498578.1",8.102946,"WW domain containing E3 ubiquitin protein ligase 1 [Source:NCBI gene;Acc:103661400]",35.84,3,113682,2702,2812,84,79,23
"ENSUMAG00000016207"," ","ENSUMAG00000016207",103669125,"protein_coding","Polar bear","KK498516.1",8.136134,"F-box protein 28 [Source:NCBI gene;Acc:103669125]",40.14,1,24975,492,2735,162,1593,5
"ENSUMAG00000014042"," CLVS1","ENSUMAG00000014042",103677468,"protein_coding","Polar bear","KK498738.1",8.14343,"clavesin 1 [Source:NCBI gene;Acc:103677468]",41.05,1,164938,1065,1065,NA,NA,5
"ENSUMAG00000015215"," CPNE3","ENSUMAG00000015215",103661403,"protein_coding","Polar bear","KK498578.1",8.242965,"copine 3 [Source:NCBI gene;Acc:103661403]",37.33,1,47431,1602,1702,50,NA,16
"ENSUMAG00000003443"," PTPN23","ENSUMAG00000003443",103675116,"protein_coding","Polar bear","KK498686.1",8.307284,"protein tyrosine phosphatase non-receptor type 23 [Source:NCBI gene;Acc:103675116]",50.96,6,25654,2768,2768,NA,NA,20
"ENSUMAG00000014054"," ASPH","ENSUMAG00000014054",103677467,"protein_coding","Polar bear","KK498738.1",8.309708,"aspartate beta-hydroxylase [Source:NCBI gene;Acc:103677467]",40.69,4,182183,2212,4598,NA,2386,25
"ENSUMAG00000015239"," CNGB3","ENSUMAG00000015239",103661405,"protein_coding","Polar bear","KK498578.1",8.314548,"cyclic nucleotide gated channel subunit beta 3 [Source:NCBI gene;Acc:103661405]",36.09,1,131757,2349,2349,NA,NA,18
"ENSUMAG00000003962"," KLHL18","ENSUMAG00000003962",103674867,"protein_coding","Polar bear","KK498686.1",8.36252,"kelch like family member 18 [Source:NCBI gene;Acc:103674867]",51.7,1,19384,1722,1722,NA,NA,11
"ENSUMAG00000000289"," EPB41L2","ENSUMAG00000000289",103663414,"protein_coding","Polar bear","KK498596.1",8.372204,"erythrocyte membrane protein band 4.1 like 2 [Source:NCBI gene;Acc:103663414]",40.89,4,111770,2937,3267,14,632,16
"ENSUMAG00000003579"," RBFOX1","ENSUMAG00000003579",103668823,"protein_coding","Polar bear","KK498627.1",8.416145,"RNA binding fox-1 homolog 1 [Source:NCBI gene;Acc:103668823]",44.01,2,331062,1078,1078,NA,NA,11
"ENSUMAG00000011974"," FNDC1","ENSUMAG00000011974",103660902,"protein_coding","Polar bear","KK498572.1",8.476155,"fibronectin type III domain containing 1 [Source:NCBI gene;Acc:103660902]",43.72,2,56014,4966,6216,250,1000,18
"ENSUMAG00000012004"," MBNL1","ENSUMAG00000012004",103677712,"protein_coding","Polar bear","KK498530.1",8.540522,"muscleblind like splicing regulator 1 [Source:NCBI gene;Acc:103677712]",37.2,3,195601,1170,4307,588,1120,10
"ENSUMAG00000015631"," TRIM24","ENSUMAG00000015631",103669114,"protein_coding","Polar bear","KK498634.1",8.665675,"tripartite motif containing 24 [Source:NCBI gene;Acc:103669114]",36.07,5,61646,2586,2586,NA,NA,18
"ENSUMAG00000015923"," FMN1","ENSUMAG00000015923",103673498,"protein_coding","Polar bear","KK498675.1",8.848533,"formin 1 [Source:NCBI gene;Acc:103673498]",41.56,1,371268,3936,3936,NA,NA,17
"ENSUMAG00000014612"," NDFIP2","ENSUMAG00000014612",103659186,"protein_coding","Polar bear","KK498556.1",8.973499,"Nedd4 family interacting protein 2 [Source:NCBI gene;Acc:103659186]",35.44,1,60982,963,1389,14,206,8
"ENSUMAG00000012242"," MEGF11","ENSUMAG00000012242",103679155,"protein_coding","Polar bear","KK498764.1",9.055105,"multiple EGF like domains 11 [Source:NCBI gene;Acc:103679155]",52.52,2,217951,2817,2817,NA,NA,22
"ENSUMAG00000001211"," PTPRT","ENSUMAG00000001211",103669888,"protein_coding","Polar bear","KK498640.1",9.071654,"protein tyrosine phosphatase receptor type T [Source:NCBI gene;Acc:103669888]",44.77,4,752223,4328,4328,NA,NA,29
"ENSUMAG00000004870"," TSPAN5","ENSUMAG00000004870",103677917,"protein_coding","Polar bear","KK498743.1",9.140863,"tetraspanin 5 [Source:NCBI gene;Acc:103677917]",44.77,3,157119,724,3159,224,2162,8
"ENSUMAG00000007209"," BAZ2B","ENSUMAG00000007209",103659493,"protein_coding","Polar bear","KK498562.1",9.170737,"bromodomain adjacent to zinc finger domain 2B [Source:NCBI gene;Acc:103659493]",34.68,3,128814,6296,6325,29,NA,34
"ENSUMAG00000005289"," PLCB1","ENSUMAG00000005289",103674425,"protein_coding","Polar bear","KK498684.1",9.194854,"phospholipase C beta 1 [Source:NCBI gene;Acc:103674425]",39.62,4,233510,3294,3294,NA,NA,27
"ENSUMAG00000014091"," NKAIN3","ENSUMAG00000014091",NA,"protein_coding","Polar bear","KK498738.1",9.265889,"sodium/potassium transporting ATPase interacting 3 [Source:HGNC Symbol;Acc:HGNC:26829]",39.66,1,246989,531,531,NA,NA,6
"ENSUMAG00000010104"," ABCA4","ENSUMAG00000010104",103669403,"protein_coding","Polar bear","KK498637.1",9.272356,"ATP binding cassette subfamily A member 4 [Source:NCBI gene;Acc:103669403]",46.36,2,121125,6850,6850,NA,NA,52
"ENSUMAG00000009834"," ","ENSUMAG00000009834",103674692,"protein_coding","Polar bear","KK498685.1",9.418313,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:NCBI gene;Acc:103674692]",43.14,1,96610,2256,2256,NA,NA,18
"ENSUMAG00000017153"," KATNAL1","ENSUMAG00000017153",103664329,"protein_coding","Polar bear","KK498601.1",9.481479,"katanin catalytic subunit A1 like 1 [Source:NCBI gene;Acc:103664329]",36.24,2,71582,1473,1540,51,NA,10
"ENSUMAG00000023682"," SORCS1","ENSUMAG00000023682",103659172,"protein_coding","Polar bear","KK498509.1",9.581521,"sortilin related VPS10 domain containing receptor 1 [Source:NCBI gene;Acc:103659172]",41.01,5,479406,2669,2669,NA,NA,22
"ENSUMAG00000014104"," YTHDF3","ENSUMAG00000014104",103677472,"protein_coding","Polar bear","KK498738.1",9.682233,"YTH N6-methyladenosine RNA binding protein 3 [Source:NCBI gene;Acc:103677472]",34.36,1,32987,1767,3322,625,930,4
"ENSUMAG00000007779"," HKDC1","ENSUMAG00000007779",103667783,"protein_coding","Polar bear","KK498624.1",9.72141,"hexokinase domain containing 1 [Source:NCBI gene;Acc:103667783]",48,1,37479,2754,2754,NA,NA,18
"ENSUMAG00000005960"," SND1","ENSUMAG00000005960",103676629,"protein_coding","Polar bear","KK498719.1",9.74496,"staphylococcal nuclease and tudor domain containing 1 [Source:NCBI gene;Acc:103676629]",43.67,1,405071,2733,3288,NA,555,24
"ENSUMAG00000016710"," DCAF6","ENSUMAG00000016710",103669159,"protein_coding","Polar bear","KK498516.1",9.750378,"DDB1 and CUL4 associated factor 6 [Source:NCBI gene;Acc:103669159]",36.03,8,116095,2436,2496,NA,240,17
"ENSUMAG00000019688"," COLEC12","ENSUMAG00000019688",103664717,"protein_coding","Polar bear","KK498513.1",9.787359,"collectin subfamily member 12 [Source:NCBI gene;Acc:103664717]",44.49,2,40509,2037,3036,340,625,8
"ENSUMAG00000012855"," ZDHHC14","ENSUMAG00000012855",103660859,"protein_coding","Polar bear","KK498572.1",9.79292,"zinc finger DHHC-type palmitoyltransferase 14 [Source:NCBI gene;Acc:103660859]",46.44,1,262637,1284,2160,6,870,9
"ENSUMAG00000017324"," GPR161","ENSUMAG00000017324",103667544,"protein_coding","Polar bear","KK498516.1",9.872337,"G protein-coupled receptor 161 [Source:NCBI gene;Acc:103667544]",52.19,1,45776,1650,3018,368,1000,6
"ENSUMAG00000011532"," SLC9A1","ENSUMAG00000011532",103666507,"protein_coding","Polar bear","KK498615.1",9.89625,"solute carrier family 9 member A1 [Source:NCBI gene;Acc:103666507]",54.95,3,50289,2417,2417,NA,NA,13
"ENSUMAG00000017332"," TIPRL","ENSUMAG00000017332",103667573,"protein_coding","Polar bear","KK498516.1",9.949876,"TOR signaling pathway regulator [Source:NCBI gene;Acc:103667573]",40.35,1,30300,819,1735,114,802,7
"ENSUMAG00000017571"," ADAM22","ENSUMAG00000017571",103658689,"protein_coding","Polar bear","KK498551.1",9.996805,"ADAM metallopeptidase domain 22 [Source:NCBI gene;Acc:103658689]",37.93,10,206863,2590,2590,NA,NA,28
"ENSUMAG00000017335"," SFT2D2","ENSUMAG00000017335",103667583,"protein_coding","Polar bear","KK498516.1",9.999798,"SFT2 domain containing 2 [Source:NCBI gene;Acc:103667583]",50.69,1,11753,729,767,NA,38,9
"ENSUMAG00000012538"," RASL12","ENSUMAG00000012538",103679163,"protein_coding","Polar bear","KK498764.1",10.021839,"RAS like family 12 [Source:NCBI gene;Acc:103679163]",52.56,1,13180,585,2385,69,1593,5
"ENSUMAG00000018496"," SSR1","ENSUMAG00000018496",103664937,"protein_coding","Polar bear","KK498605.1",10.108038,"signal sequence receptor subunit 1 [Source:NCBI gene;Acc:103664937]",40.14,2,38336,920,1456,130,813,9
"ENSUMAG00000006663"," MCRS1","ENSUMAG00000006663",103675466,"protein_coding","Polar bear","KK498696.1",10.201198,"microspherule protein 1 [Source:NCBI gene;Acc:103675466]",59.49,1,7842,1389,1866,110,367,14
"ENSUMAG00000021682"," PLXNA2","ENSUMAG00000021682",103672537,"protein_coding","Polar bear","KK498660.1",10.311082,"plexin A2 [Source:NCBI gene;Acc:103672537]",52.03,10,183874,5615,5615,NA,NA,32
"ENSUMAG00000012625"," ZNF609","ENSUMAG00000012625",103679089,"protein_coding","Polar bear","KK498764.1",10.33121,"zinc finger protein 609 [Source:NCBI gene;Acc:103679089]",39.59,1,177936,4233,4233,NA,NA,8
"ENSUMAG00000019219"," GNPTAB","ENSUMAG00000019219",103676570,"protein_coding","Polar bear","KK498718.1",10.373676,"N-acetylglucosamine-1-phosphate transferase subunits alpha and beta [Source:NCBI gene;Acc:103676570]",39.46,1,39418,3558,4571,13,1000,19
"ENSUMAG00000006965"," ALG9","ENSUMAG00000006965",103662400,"protein_coding","Polar bear","KK498590.1",10.414556,"ALG9 alpha-1,2-mannosyltransferase [Source:NCBI gene;Acc:103662400]",40.42,8,102740,1752,2062,883,798,15
"ENSUMAG00000007132"," SIK2","ENSUMAG00000007132",103662532,"protein_coding","Polar bear","KK498590.1",10.562904,"salt inducible kinase 2 [Source:NCBI gene;Acc:103662532]",39.5,4,109428,2453,2464,42,NA,14
"ENSUMAG00000002342"," FRYL","ENSUMAG00000002342",103672798,"protein_coding","Polar bear","KK498665.1",10.572734,"FRY like transcription coactivator [Source:NCBI gene;Acc:103672798]",38.38,1,117133,7896,7896,NA,NA,53
"ENSUMAG00000015416"," IMPG1","ENSUMAG00000015416",103657402,"protein_coding","Polar bear","KK498536.1",10.666377,"interphotoreceptor matrix proteoglycan 1 [Source:NCBI gene;Acc:103657402]",39.61,4,124377,1764,1764,NA,NA,13
"ENSUMAG00000014112"," CYP7B1","ENSUMAG00000014112",103677513,"protein_coding","Polar bear","KK498738.1",10.873322,"25-hydroxycholesterol 7-alpha-hydroxylase [Source:NCBI gene;Acc:103677513]",39.44,1,27284,1311,1638,NA,327,5
"ENSUMAG00000006399"," GTDC1","ENSUMAG00000006399",103667693,"protein_coding","Polar bear","KK498623.1",10.875048,"glycosyltransferase like domain containing 1 [Source:NCBI gene;Acc:103667693]",37.42,6,313391,1358,2312,60,755,11
"ENSUMAG00000002532"," DCUN1D4","ENSUMAG00000002532",103672723,"protein_coding","Polar bear","KK498665.1",11.073255,"defective in cullin neddylation 1 domain containing 4 [Source:NCBI gene;Acc:103672723]",41.62,3,48713,853,853,NA,NA,11
"ENSUMAG00000013068"," LDLRAP1","ENSUMAG00000013068",103666783,"protein_coding","Polar bear","KK498615.1",11.110617,"low density lipoprotein receptor adaptor protein 1 [Source:NCBI gene;Acc:103666783]",54.21,2,38592,880,1864,53,1861,8
"ENSUMAG00000023636"," ALDH1A2","ENSUMAG00000023636",103676790,"protein_coding","Polar bear","KK498720.1",11.134727,"aldehyde dehydrogenase 1 family member A2 [Source:NCBI gene;Acc:103676790]",43.39,2,58164,1538,1538,NA,NA,13
"ENSUMAG00000008842"," GPAT3","ENSUMAG00000008842",103665375,"protein_coding","Polar bear","KK498607.1",11.232663,"glycerol-3-phosphate acyltransferase 3 [Source:NCBI gene;Acc:103665375]",41.03,1,61529,1302,2331,300,729,12
"ENSUMAG00000008720"," SLC4A10","ENSUMAG00000008720",103659867,"protein_coding","Polar bear","KK498562.1",11.259422,"solute carrier family 4 member 10 [Source:NCBI gene;Acc:103659867]",35.43,7,183792,3116,3116,NA,NA,24
"ENSUMAG00000005178"," RCAN2","ENSUMAG00000005178",103664037,"protein_coding","Polar bear","KK498598.1",11.338297,"regulator of calcineurin 2 [Source:NCBI gene;Acc:103664037]",42.73,2,222393,663,1896,81,1132,4
"ENSUMAG00000012358"," CP","ENSUMAG00000012358",103678054,"protein_coding","Polar bear","KK498530.1",11.422418,"ceruloplasmin [Source:NCBI gene;Acc:103678054]",39.11,3,58065,3246,3640,380,20,19
"ENSUMAG00000013569"," CA12","ENSUMAG00000013569",103679170,"protein_coding","Polar bear","KK498764.1",11.477171,"carbonic anhydrase 12 [Source:NCBI gene;Acc:103679170]",48.26,3,23614,970,970,NA,NA,10
"ENSUMAG00000010877"," RNFT2","ENSUMAG00000010877",103661218,"protein_coding","Polar bear","KK498575.1",11.685843,"ring finger protein, transmembrane 2 [Source:NCBI gene;Acc:103661218]",49.06,1,61146,1353,1353,NA,NA,9
"ENSUMAG00000017813"," RHBDD1","ENSUMAG00000017813",103662860,"protein_coding","Polar bear","KK498593.1",11.687989,"rhomboid domain containing 1 [Source:NCBI gene;Acc:103662860]",41.91,4,133013,908,1471,89,261,8
"ENSUMAG00000007273"," RDX","ENSUMAG00000007273",103662411,"protein_coding","Polar bear","KK498590.1",11.73818,"radixin [Source:NCBI gene;Acc:103662411]",37.53,3,74237,1583,2025,92,232,14
"ENSUMAG00000024020"," FOXP1","ENSUMAG00000024020",103674248,"protein_coding","Polar bear","KK498682.1",11.783296,"forkhead box P1 [Source:NCBI gene;Acc:103674248]",42.12,1,162608,2040,2040,NA,NA,16
"ENSUMAG00000014127"," PDE7A","ENSUMAG00000014127",103677517,"protein_coding","Polar bear","KK498738.1",11.790826,"phosphodiesterase 7A [Source:NCBI gene;Acc:103677517]",38.19,4,58087,1322,1578,100,921,13
"ENSUMAG00000004359"," SNX29","ENSUMAG00000004359",103668833,"protein_coding","Polar bear","KK498627.1",12.011218,"sorting nexin 29 [Source:NCBI gene;Acc:103668833]",49.61,2,445877,1514,3450,54,3820,14
"ENSUMAG00000014199"," DNAJC5B","ENSUMAG00000014199",103677478,"protein_coding","Polar bear","KK498738.1",12.073225,"DnaJ heat shock protein family (Hsp40) member C5 beta [Source:NCBI gene;Acc:103677478]",36.75,1,51021,600,600,NA,NA,4
"ENSUMAG00000008851"," ZSWIM6","ENSUMAG00000008851",103663883,"protein_coding","Polar bear","KK498597.1",12.122823,"zinc finger SWIM-type containing 6 [Source:NCBI gene;Acc:103663883]",37.5,2,67908,2025,3210,143,1082,12
"ENSUMAG00000015520"," SLC26A7","ENSUMAG00000015520",103661422,"protein_coding","Polar bear","KK498578.1",12.144605,"solute carrier family 26 member 7 [Source:NCBI gene;Acc:103661422]",38.32,1,107118,1947,1947,NA,NA,17
"ENSUMAG00000008810"," ACVR1B","ENSUMAG00000008810",103675499,"protein_coding","Polar bear","KK498696.1",12.147647,"activin A receptor type 1B [Source:NCBI gene;Acc:103675499]",51.65,2,19370,1404,3736,172,4492,8
"ENSUMAG00000014201"," TRIM55","ENSUMAG00000014201",103677479,"protein_coding","Polar bear","KK498738.1",12.149484,"tripartite motif containing 55 [Source:NCBI gene;Acc:103677479]",41.74,1,40924,1620,1620,NA,NA,10
"ENSUMAG00000021234"," ANKRD29","ENSUMAG00000021234",103664832,"protein_coding","Polar bear","KK498513.1",12.228788,"ankyrin repeat domain 29 [Source:NCBI gene;Acc:103664832]",43.16,1,42140,861,861,NA,NA,11
"ENSUMAG00000004438"," APAF1","ENSUMAG00000004438",103660136,"protein_coding","Polar bear","KK498564.1",12.248165,"apoptotic peptidase activating factor 1 [Source:NCBI gene;Acc:103660136]",37.98,8,74291,3595,3595,NA,NA,25
"ENSUMAG00000018611"," CDK14","ENSUMAG00000018611",103658704,"protein_coding","Polar bear","KK498551.1",12.283639,"cyclin dependent kinase 14 [Source:NCBI gene;Acc:103658704]",39.07,3,540085,1272,3139,300,634,14
"ENSUMAG00000003515"," LNX1","ENSUMAG00000003515",103672733,"protein_coding","Polar bear","KK498665.1",12.338105,"ligand of numb-protein X 1 [Source:NCBI gene;Acc:103672733]",44.67,2,105351,2040,2040,NA,NA,11
"ENSUMAG00000005245"," MANBA","ENSUMAG00000005245",103677948,"protein_coding","Polar bear","KK498743.1",12.503827,"mannosidase beta [Source:NCBI gene;Acc:103677948]",39.16,6,116427,2326,2418,139,69,16
"ENSUMAG00000004383"," CPPED1","ENSUMAG00000004383",NA,"protein_coding","Polar bear","KK498627.1",12.527948,"calcineurin like phosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25632]",46.32,1,82591,879,879,NA,NA,4
"ENSUMAG00000021654"," EPHA7","ENSUMAG00000021654",103675894,"protein_coding","Polar bear","KK498704.1",12.605616,"EPH receptor A7 [Source:NCBI gene;Acc:103675894]",34.21,3,158722,2072,2072,NA,NA,11
"ENSUMAG00000014334"," SGK3","ENSUMAG00000014334",103677485,"protein_coding","Polar bear","KK498738.1",12.669156,"serine/threonine-protein kinase Sgk3 [Source:NCBI gene;Acc:103677485]",37.92,2,75484,1431,2470,141,757,16
"ENSUMAG00000008643"," NUP85","ENSUMAG00000008643",103665735,"protein_coding","Polar bear","KK498611.1",12.726611,"nucleoporin 85 [Source:NCBI gene;Acc:103665735]",45.14,1,31538,1968,2525,186,186,20
"ENSUMAG00000021473"," OSBPL1A","ENSUMAG00000021473",NA,"protein_coding","Polar bear","KK498513.1",12.738361,"oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]",39.73,2,118534,1394,1394,NA,NA,12
"ENSUMAG00000014337"," MCMDC2","ENSUMAG00000014337",103677487,"protein_coding","Polar bear","KK498738.1",12.755084,"minichromosome maintenance domain containing 2 [Source:NCBI gene;Acc:103677487]",35.11,1,29544,2046,2046,NA,NA,14
"ENSUMAG00000007300"," DDX10","ENSUMAG00000007300",103662538,"protein_coding","Polar bear","KK498590.1",12.815131,"DEAD-box helicase 10 [Source:NCBI gene;Acc:103662538]",37.8,2,255718,2481,2481,NA,NA,17
"ENSUMAG00000008668"," GRB2","ENSUMAG00000008668",103665736,"protein_coding","Polar bear","KK498611.1",12.82085,"growth factor receptor bound protein 2 [Source:NCBI gene;Acc:103665736]",42.83,1,58769,654,1158,137,367,5
"ENSUMAG00000005385"," SLC9B2","ENSUMAG00000005385",103677957,"protein_coding","Polar bear","KK498743.1",12.82177,"solute carrier family 9 member B2 [Source:NCBI gene;Acc:103677957]",36.86,3,41759,1465,1744,NA,838,10
"ENSUMAG00000024823"," GABRA1","ENSUMAG00000024823",103664516,"protein_coding","Polar bear","KK498603.1",12.909388,"gamma-aminobutyric acid type A receptor subunit alpha1 [Source:NCBI gene;Acc:103664516]",35.65,1,52735,1416,1416,NA,NA,10
"ENSUMAG00000014367"," CSPP1","ENSUMAG00000014367",103677523,"protein_coding","Polar bear","KK498738.1",12.91459,"centrosome and spindle pole associated protein 1 [Source:NCBI gene;Acc:103677523]",36.13,3,135286,3094,3094,NA,NA,26
"ENSUMAG00000000617"," AKAP13","ENSUMAG00000000617",103660053,"protein_coding","Polar bear","KK498563.1",12.91977,"A-kinase anchoring protein 13 [Source:NCBI gene;Acc:103660053]",43.6,6,198574,7065,7065,NA,NA,31
"ENSUMAG00000023761"," SHOC2","ENSUMAG00000023761",103657038,"protein_coding","Polar bear","KK498509.1",13.024741,"SHOC2 leucine rich repeat scaffold protein [Source:NCBI gene;Acc:103657038]",34.18,1,46654,1749,1991,242,NA,8
"ENSUMAG00000021152"," TBC1D15","ENSUMAG00000021152",103656890,"protein_coding","Polar bear","KK498531.1",13.060161,"TBC1 domain family member 15 [Source:NCBI gene;Acc:103656890]",35.89,2,75547,1988,2828,123,717,16
"ENSUMAG00000008497"," SPTLC3","ENSUMAG00000008497",103674441,"protein_coding","Polar bear","KK498684.1",13.091264,"serine palmitoyltransferase long chain base subunit 3 [Source:NCBI gene;Acc:103674441]",42.22,1,132841,1659,1659,NA,NA,12
"ENSUMAG00000007368"," EXPH5","ENSUMAG00000007368",103662419,"protein_coding","Polar bear","KK498590.1",13.131208,"exophilin 5 [Source:NCBI gene;Acc:103662419]",43.58,2,67151,5928,5928,NA,NA,6
"ENSUMAG00000021170"," TPH2","ENSUMAG00000021170",103656892,"protein_coding","Polar bear","KK498531.1",13.153753,"tryptophan hydroxylase 2 [Source:NCBI gene;Acc:103656892]",44.37,1,94337,1422,1422,NA,NA,11
"ENSUMAG00000000428"," IGF2BP3","ENSUMAG00000000428",103658882,"protein_coding","Polar bear","KK498552.1",13.272292,"insulin like growth factor 2 mRNA binding protein 3 [Source:NCBI gene;Acc:103658882]",41.51,5,140945,1645,1645,NA,NA,13
"ENSUMAG00000007491"," ATM","ENSUMAG00000007491",103662421,"protein_coding","Polar bear","KK498590.1",13.300424,"ATM serine/threonine kinase [Source:NCBI gene;Acc:103662421]",39.34,5,122947,7003,7166,271,NA,48
"ENSUMAG00000018642"," MTERF1","ENSUMAG00000018642",103658705,"protein_coding","Polar bear","KK498551.1",13.314284,"mitochondrial transcription termination factor 1 [Source:NCBI gene;Acc:103658705]",37.7,1,6010,1200,2199,NA,999,2
"ENSUMAG00000007275"," ITFG1","ENSUMAG00000007275",103673924,"protein_coding","Polar bear","KK498677.1",13.367981,"integrin alpha FG-GAP repeat containing 1 [Source:NCBI gene;Acc:103673924]",35.84,3,270123,1664,1664,NA,NA,18
"ENSUMAG00000024031"," SHQ1","ENSUMAG00000024031",103674256,"protein_coding","Polar bear","KK498682.1",13.370571,"SHQ1, H/ACA ribonucleoprotein assembly factor [Source:NCBI gene;Acc:103674256]",40.56,1,100463,1692,1692,NA,NA,13
"ENSUMAG00000003696"," PDE5A","ENSUMAG00000003696",103661786,"protein_coding","Polar bear","KK498581.1",13.402311,"phosphodiesterase 5A [Source:NCBI gene;Acc:103661786]",39.75,2,136705,2492,3566,37,1015,21
"ENSUMAG00000001181"," TRA2A","ENSUMAG00000001181",NA,"protein_coding","Polar bear","KK498552.1",13.448076,"transformer 2 alpha homolog [Source:HGNC Symbol;Acc:HGNC:16645]",38.25,1,7010,585,585,NA,NA,5
"ENSUMAG00000001409"," AGBL1","ENSUMAG00000001409",103660055,"protein_coding","Polar bear","KK498563.1",13.487565,"ATP/GTP binding protein like 1 [Source:NCBI gene;Acc:103660055]",42.18,1,439424,3243,3243,NA,NA,23
"ENSUMAG00000001190"," CCDC126","ENSUMAG00000001190",103658886,"protein_coding","Polar bear","KK498552.1",13.52089,"coiled-coil domain containing 126 [Source:NCBI gene;Acc:103658886]",39.59,1,45052,420,1301,375,131,3
"ENSUMAG00000020351"," CSMD3","ENSUMAG00000020351",103661566,"protein_coding","Polar bear","KK498579.1",13.603155,"CUB and Sushi multiple domains 3 [Source:NCBI gene;Acc:103661566]",34.24,2,1144298,10784,10784,NA,NA,71
"ENSUMAG00000018995"," KRIT1","ENSUMAG00000018995",103658711,"protein_coding","Polar bear","KK498551.1",13.613425,"KRIT1 ankyrin repeat containing [Source:NCBI gene;Acc:103658711]",35.05,3,37926,2172,2750,224,NA,17
"ENSUMAG00000019015"," ANKIB1","ENSUMAG00000019015",103658712,"protein_coding","Polar bear","KK498551.1",13.651665,"ankyrin repeat and IBR domain containing 1 [Source:NCBI gene;Acc:103658712]",36.01,1,141859,3279,3466,77,33,20
"ENSUMAG00000023770"," NBEA","ENSUMAG00000023770",NA,"protein_coding","Polar bear","KK498601.1",13.673046,"neurobeachin [Source:HGNC Symbol;Acc:HGNC:7648]",35.18,10,663359,8487,8487,NA,NA,57
"ENSUMAG00000022718"," RXRG","ENSUMAG00000022718",103658229,"protein_coding","Polar bear","KK498545.1",13.682985,"retinoid X receptor gamma [Source:NCBI gene;Acc:103658229]",50.72,2,38629,772,831,117,NA,6
"ENSUMAG00000006908"," HEPHL1","ENSUMAG00000006908",103660706,"protein_coding","Polar bear","KK498571.1",13.718539,"hephaestin like 1 [Source:NCBI gene;Acc:103660706]",40.62,1,84454,3483,3483,NA,NA,20
